"","ahp","alcoa","amerb","arco","coke","comme","dow","dupont","espey","exxon","fisch","ford","ge","gm","gte","gulf","hp","ibm","inger","iroqu","jnj","kimbc","kinar","kodak","luken","meico","merck","mmm","mobil","morris","pandg","pills","schlum","sears","sherw","tex"
"1962-07-26",1.00685,1.00939,0.99187,1.01604,1.0061,1.05128,1.00575,1.01223,1.05882,1.00241,1.00752,1.00301,1.02,1.00503,1.01961,1.02062,0.9939,1.00544,1.02752,1,1.03169,0.98558,1.04,1.00264,1.00649,0.99048,1.01079,1.00518,1,1.01812,1.01887,1.00277,1.0121,1.00954,1.00629,0.99279
"1962-07-27",1.00907,1.04186,1,1.04211,1.00758,1,1.00571,1.01477,0.98611,0.9976,1.04478,1.03003,0.99804,1.01,1.01923,1.0303,0.98773,1.01725,1.01339,1,1,0.99024,0.96154,1.02632,1,1,1.0089,1.02062,1.01015,0.98399,1.01481,1,1.01992,1.00567,1,1.00242
"1962-07-30",1.05618,1.01563,1.02049,0.98485,1.01053,1,1.00852,1.00661,0.98592,1.00482,0.97143,1.00758,1.01768,1.02228,1.01258,1.01961,1.00621,1.0306,1.02203,1,0.99659,1,1,0.99744,1.00649,1,1.0582,1.0202,1.01256,1.00542,1.01642,1.01657,0.96289,1.00564,1.00313,1.00483
"1962-07-31",0.99149,1.02418,0.98394,1.00513,1.02083,0.97561,1.01127,1.02102,0.98571,1.0048,1,1.00585,1.0251,1.00726,0.99379,1,1.03704,0.99903,1.0131,1,1.02226,1.0468,1.04,1.00386,1.00645,1.00962,0.995,1.00743,1.00496,1.0036,0.9982,1,1.03854,1.01495,0.99065,1.01683
"1962-08-01",0.98927,1.01288,1.01224,0.9898,0.98251,1,1,0.98842,1.01449,0.99284,0.99265,0.98256,0.99435,0.99279,0.99375,0.98558,0.98214,0.97222,0.98276,1.05714,0.99832,0.99059,1.07692,0.97823,1,1.00952,0.9933,0.97789,0.99753,1.00717,0.9946,1.00815,0.99023,0.98343,0.99686,1.00236
"1962-08-02",0.99566,1.00212,1.02419,0.99485,1.02077,1.025,1.00836,0.99479,1,1.00721,1.02222,0.99408,1.00758,1,0.99371,0.98537,1,1.02525,0.99123,0.98649,1,0.99525,0.96429,1.00916,0.99359,1.01887,0.98482,1.0201,0.995,1.01068,1.01266,1.01087,1.00197,0.99438,0.99369,1.00708
"1962-08-03",1.00218,1.00423,1.00787,1,1.00581,1,0.98895,1.01047,1.01429,1.00239,1,0.99702,1.00752,1.00726,1,1,1,0.99806,0.98009,0.9863,0.95973,0.98329,1,1.01686,1.00323,1.03704,1.0137,0.9803,1.00503,1.00176,0.99464,0.98387,1.00394,1.00188,0.98571,1.00468
"1962-08-06",0.9913,0.98947,0.98437,0.98187,0.98266,1,0.98324,0.99482,1.01408,0.99048,0.97826,0.99104,0.98134,1.0024,1.00633,1.01485,0.99394,0.98701,1.00903,1,0.99301,0.99029,1.03704,0.97959,0.97749,1.10714,0.97973,0.99246,0.99,0.99121,0.99461,1.00546,0.99608,1.00564,0.99517,0.99534
"1962-08-07",0.97368,0.97234,0.99206,1.00792,0.98824,1,1,1.0026,1.02083,0.99519,0.98519,0.99398,0.9981,0.99281,0.98742,1.00488,1.0061,0.98421,1.00671,0.98611,0.98944,0.9951,1,0.99609,1.00658,0.96774,0.96207,0.98734,1,0.97163,0.98556,0.99728,0.99409,0.99439,0.97735,1.00141
"1962-08-08",1,1.01969,1.00405,0.99738,0.99702,1,1.00568,1,0.97959,1.00918,0.99248,1.00303,1,0.99758,0.99363,0.99029,1.01818,1.02277,1.00222,0.98592,1.03915,1.00985,1,1.02353,1.03922,0.975,1,1.02051,1,1.0219,1.00366,1,1.00396,1,0.98675,0.98821
"1962-08-09",0.98414,1.01931,0.98387,1,0.98806,1,0.9774,1.0026,0.97222,1.00484,0.99242,0.99094,1.0019,1.00242,1.00641,1,1.0119,0.98625,1.00222,0.97143,1,1,1,0.99617,0.96226,0.96581,0.98566,0.99497,1.0101,0.98929,0.99088,0.99728,1,1.01504,0.99832,1.00716
"1962-08-10",0.99083,1.02105,1.0082,1.00787,1.00604,1,1.00289,1.00259,1.02143,1,1.00763,1.01524,1.00951,1.00483,1,0.9951,1.02941,0.99801,0.99779,1,1.00685,1.02439,1,0.98333,0.97386,1,0.99091,0.99747,1.0075,1.01805,1.00921,1.01093,0.99842,1.01111,1.01345,1.00711
"1962-08-13",1.00926,1,0.99593,1.01302,0.99399,1.0122,1.01441,1.00775,0.97902,1,0.9697,0.99099,0.99058,1.00962,0.99363,1.00246,1.01143,1.00798,0.99335,1.11765,0.9932,1.01667,1,1.02086,1.01342,0.99115,0.9945,0.99494,0.99752,1,0.99635,0.97838,1.00396,1.00183,1.00498,1.00471
"1962-08-14",1.02752,1.02763,1.01633,0.98972,1.02417,0.98795,1.01705,1.02051,0.98571,1.00241,1.01563,1.01212,1.02662,1.00481,1.03846,0.99263,1.00565,1.01914,1.00446,1,0.98973,0.98361,1.07143,1.01405,1.00662,1,1,1.01527,1.00995,0.99645,1.00916,1.01105,0.99803,1.02011,1.0099,1.00703
"1962-08-15",1.01786,1.01815,1.03614,1.01039,1.01475,1.0122,1.03073,1.00503,1.01449,1,1.05385,1.02395,0.9963,1.00239,1.01235,1.04455,1.03933,1.0013,1.00667,0.97368,1.0173,1.00476,0.96667,0.98741,1.09868,1.01786,1.01476,1.01754,0.98522,1.00712,1.00363,0.99454,0.98024,1.02509,1.03595,1.00698
"1962-08-16",0.96711,1.01188,0.99225,0.98406,0.99419,0.98795,1.01084,0.995,0.97143,1.0024,0.9927,0.99708,1.00372,1.00239,1.0122,1.00948,1.01081,0.99935,0.98896,1,0.9932,0.97867,1,1.00255,0.97006,1.00877,0.98182,1.00246,1.005,0.9947,1.00542,0.98901,0.99395,1.00874,0.98423,1
"1962-08-17",1.01134,0.99217,0.99609,1.00794,1,1.03659,1.02145,1,1.07353,1.0048,1,1.0176,1.00926,1.0119,1.02723,1,1.02139,1.00841,1.00446,0.97297,1.00342,0.99031,1,1.01272,1.01235,0.98261,0.99444,1.03931,1.00498,1.00533,0.9982,1.01111,1.00203,1.026,1.01282,0.99769
"1962-08-20",1.00224,1.00197,0.98039,1.00787,1.0117,1,0.99738,1.0044,0.9863,1.00477,0.98529,1.02594,0.99817,1,1,1.03286,1.02094,1.01091,1.00667,0.97222,0.99317,1.01222,1,1.00754,0.9878,1.00442,0.99628,1.02364,1.01485,1,1.00901,1,1.01215,1.01351,1,0.99074
"1962-08-21",0.99105,0.97244,1.008,1,1,0.96471,0.98947,0.99312,1,1.00238,1.00746,0.98315,1,0.99059,1.00592,0.99091,0.95897,0.99746,0.99558,1,0.99313,1.00242,1,0.98254,0.9784,1.00881,0.97009,0.99677,1.00976,0.9894,0.99286,0.99451,0.996,0.98133,0.99051,0.99766
"1962-08-22",1.00226,0.98381,1.01587,1,0.99711,1,1.03191,1.01008,0.97222,1,1,1.02857,1.02206,1.01188,1,1,1.02674,1.04137,1.00887,1,1.01736,1.00723,1,1.02284,1.04101,0.99563,1.0289,1.03256,1,0.99643,1.00719,1.00552,1.03614,1.01706,1.01597,1.00937
"1962-08-23",0.93694,1,0.99219,0.99219,1.00435,1.02439,0.98711,1.01508,0.95714,0.99289,0.99259,0.98333,0.9964,1.00704,0.99412,1.00917,0.97396,1.00367,0.99341,1,0.99659,1.01675,1,0.99007,0.9697,0.99123,0.98315,0.96847,0.99758,1.00358,1.00536,1.00824,1.00775,0.98993,1.00629,1
"1962-08-24",0.94471,0.97942,1.00394,0.99213,1,1.0119,0.99478,1.00495,1.07463,0.99523,1.00746,1.01695,0.98195,0.99767,1.01183,1.03568,1.02674,0.99635,1.01327,1,0.98973,0.99765,1.03448,1.01003,0.99687,1.00885,0.98667,1.00465,0.99758,0.99643,0.99112,1.00817,1.00385,0.98983,1,1.00232
"1962-08-27",1.03308,1.01681,0.99608,1.00265,0.99278,1.03529,1.01837,0.99631,1.01389,1.0024,1.00741,0.99444,0.98713,1,0.9883,0.99539,0.94271,0.99756,0.99563,1,0.97578,0.98585,0.93333,1.00744,1.00313,0.99123,0.99421,1.00926,1.00728,1.00896,0.99642,0.99459,0.99617,1.00514,1.00937,1
"1962-08-28",0.98768,0.99174,0.98819,0.99208,0.98547,0.96591,0.98969,0.98393,0.9726,0.99282,0.99265,0.98045,1.00745,0.98832,0.98817,0.96759,0.9558,0.96446,0.98246,0.97143,0.99645,1.00239,1.07143,0.9931,0.9625,1,0.98252,0.97248,0.99518,1,0.98561,0.9837,0.98462,0.98637,0.99071,0.99537
"1962-08-29",0.99501,0.99167,0.99203,1.00532,0.99115,0.98824,1,0.99623,0.99296,1.00241,1,0.9943,0.99815,0.99527,0.98204,0.99522,1.0289,0.99365,0.99107,1.05882,0.99822,0.98329,1,1.00499,0.99351,1.00885,0.98814,0.99292,0.99031,0.99467,1.00365,0.98343,0.99219,1.01036,1,1.00233
"1962-08-30",0.98997,0.97689,0.99197,1.01323,1.0119,0.9881,0.9974,1.00126,0.99291,1,0.99259,0.99427,1.0037,1.01188,1.0122,1.00962,0.98876,0.99169,1,0.97222,1,1.00485,1,0.9938,0.99346,1.01754,1.008,1.00475,1,1,1.00182,1,1.00787,1.00513,0.99063,1
"1962-08-31",1.00253,1.0129,0.99595,0.99739,1.00147,0.96386,1.01305,1.02015,1.02857,1,0.99254,1.02594,1.01107,1,1.01205,1,1.02273,1.02192,0.9955,1,1.00891,1.00966,0.93333,1.01498,1.01974,1.05172,1.00397,1.02128,1.00978,1.00714,1,0.99719,1,1.0085,0.99685,1.00464
"1962-09-04",0.99747,1.00212,0.99593,1.00262,0.99266,1,1.00515,0.98519,0.95833,0.9976,0.99248,0.95787,0.97263,0.99296,0.98214,0.98571,0.97778,0.97792,0.97738,1,1.00353,1.00383,1,0.99508,0.9871,0.96721,1.00632,0.99074,1.00242,0.99291,0.99093,0.99155,0.99219,0.99157,0.99209,0.99538
"1962-09-05",0.98987,1.01059,0.99592,1,0.99408,1.025,0.98718,0.99373,0.97101,1,0.97727,1.00587,0.98124,1.00236,0.99394,0.99034,0.96591,0.98839,1,0.97143,0.98592,0.97837,1.03571,0.98517,0.99346,0.98305,1.00791,0.98598,1,0.98214,0.9707,0.97727,0.98819,0.9949,0.99522,0.99768
"1962-09-06",1.0179,1.0021,1.0123,1.00261,0.99851,1,1.00519,1.01639,1.04478,0.99759,1,1,1,1.01179,1,0.99512,1.03529,1.01305,1.00926,1,1.01071,0.99263,0.89655,1.00125,1.01974,1.03448,1.00784,0.98815,1,1.02909,0.99434,0.98837,1.00199,1.00342,1,0.99535
"1962-09-07",0.98744,0.99582,0.9919,1.02604,1.00447,0.97561,1.01809,1,1,1.00483,1,0.99708,1.02103,1,1.0122,1,1.00568,0.98518,1,1,1,1.0099,1.07692,1,1.0129,0.9875,0.99611,0.98561,1.00242,0.9894,1.0038,0.98235,1.00994,0.99489,0.99359,1.00935
"1962-09-10",0.99491,1,1,0.99492,1.00742,1,0.99746,1.00124,1.01429,1.0024,0.97674,1.00292,1.01311,1.00699,0.99398,0.9951,0.9887,1.00523,0.99541,0.97059,1.00353,0.99755,0.92857,1.01003,1.00637,0.98734,1.01563,1.00243,0.99518,0.98929,1.00567,1.00599,0.99213,0.99658,1.00645,0.99537
"1962-09-11",0.99223,1.0042,1,1.0102,1.00265,1,1.02341,1.00867,1,1.0024,1.01587,1.02332,0.98891,1,0.98788,1.00493,1.04,0.99414,0.98387,1,0.98592,1.00246,1.07692,1,1.03797,1,1.03077,0.99029,1.00484,0.99639,1.01128,1.01786,1.00794,1.00172,1.03526,1.00465
"1962-09-12",1.01292,1.00209,1.00816,1.01768,1.00296,0.95,1.04261,1.01167,0.98592,1.00957,0.99219,1.0057,1.01121,1.00463,0.99387,1.01471,1.01099,1.00425,0.99766,1,1.01786,0.98284,1,0.99752,0.98171,1.01709,1.0056,1.00245,1.00241,1.01449,1.00372,1.04094,1.02362,1.00172,0.98452,1.00463
"1962-09-13",0.99235,0.99374,0.98785,1.00496,0.99115,1,1,1.00425,0.97143,1,0.97638,0.99433,0.99076,1,0.98765,0.99517,1.00543,0.99967,1.00469,1,0.98947,1.02743,1,0.99502,0.98758,1.01681,1.00557,1.01222,1.0024,1,0.98519,0.98315,1.02115,0.99658,0.99214,1.00461
"1962-09-14",1.01028,1.0042,1.0041,1.01481,1,1.01316,1.01442,1.00121,1.02941,1.00237,0.97581,1.00285,1.00933,1.00691,1.00625,0.98544,1.01081,1.01239,1,1,1,1.00971,1,1.01,0.98742,1,0.99631,1.03382,1,0.99857,1.00564,1.02857,1.01318,1.00344,1.00951,1.00688
"1962-09-17",0.99491,0.99163,0.99184,1.01217,1,1,1.00237,0.99758,0.94286,1,0.99174,0.99432,1.00739,1.00686,1.00621,0.99507,1.01604,1.01739,0.99766,1,0.99468,1.00962,0.85714,1.00495,1.01274,1.00826,1.00185,1,1.0048,1.00362,1.01682,1.03889,0.99628,1.00856,1.00471,1.00911
"1962-09-18",0.97187,0.97468,0.99177,0.98317,0.98512,0.96104,1.00946,1.00484,1.00758,1.00473,1.025,0.98857,1.0055,0.99545,0.99383,1.00495,1,0.99241,1.00703,1,1.00535,1,1,0.98645,0.98113,0.9877,1.00924,0.99299,1.00477,1.00361,0.99081,0.99465,1.00746,1.00509,0.99687,1.00451
"1962-09-19",0.98947,1.00216,0.99585,0.98289,0.99698,1,1,1.00783,0.97744,0.99765,0.97561,1.00578,0.99816,1.00228,1.00621,0.99507,0.97895,0.98533,0.99535,1,1.01773,1.00714,1.08333,1.00125,0.99038,0.9917,1.01282,1,1.00713,0.98561,1.00371,1.01075,0.97778,1.00338,1.00313,0.99551
"1962-09-20",0.99734,0.97624,0.99583,1,0.98788,1.02703,0.97424,0.99462,1,1.00708,1,0.97701,0.98527,0.99089,0.98765,0.9901,0.95161,0.99094,0.99065,1,1,0.99764,1,0.99501,0.96117,1.01277,0.96564,0.99059,1,1.0073,0.99261,0.97872,0.9697,0.99663,0.9875,1.00226
"1962-09-21",0.97333,0.96903,0.99163,0.99005,0.97853,0.98684,0.96635,0.98498,0.92308,0.99297,1,0.97941,0.97944,0.97471,0.99375,0.955,0.96045,0.98432,0.99057,1.0303,0.98955,0.95735,1.03846,0.98997,0.99327,0.9958,0.98689,0.96912,0.98821,0.97101,0.96462,0.97826,0.96875,0.98311,0.98892,0.97297
"1962-09-24",1.0137,0.96347,0.98312,0.9799,0.99843,1.01333,0.95771,0.97132,0.93333,0.98585,0.96667,0.98498,0.98855,0.98113,0.99371,0.97906,0.97059,0.96085,0.9881,0.97059,0.98768,0.99505,0.88889,0.99114,0.97627,0.98734,0.98102,0.96078,0.98091,0.99627,0.97297,0.98889,0.95161,0.98797,0.9808,0.99074
"1962-09-25",0.99459,1.04502,1.00429,1.00256,0.99215,0.98684,1.03117,1.01508,1.03571,0.99043,0.99138,1.02134,1.00386,1.01923,0.98734,1.02139,1.01818,1.02003,0.99518,1,1.00178,1,1.08333,0.99617,1.02083,0.99573,1.0058,1.0102,1,1.00375,1,1.03371,1.02966,0.99826,1.00489,1.00935
"1962-09-26",0.99728,0.97732,0.99145,0.98465,0.98734,1.01333,0.99244,0.97896,0.99138,0.98551,0.98261,0.98209,0.97692,0.98585,1,0.99476,0.9881,0.96276,0.97094,1,0.98399,1,0.92308,0.97692,0.96259,1.02146,1.00192,0.97727,0.99027,0.9944,0.97222,0.97826,0.96296,0.97909,1,0.98611
"1962-09-27",0.99728,0.97912,0.99569,0.9974,1,1,0.98477,0.99874,1.0087,1,1.0177,0.99696,0.98031,0.99522,0.99359,1,1.00602,0.98453,1.01746,1,0.98373,0.99005,1.16667,0.99081,0.99647,0.9958,1.00768,0.99742,1.00491,1,0.99184,0.96111,1.00855,0.97153,0.99351,1
"1962-09-28",0.99454,0.98815,1.01299,1.02083,1.00641,1,1.01031,1.01203,1,1.0098,1.0087,1.00915,1.0261,1.01923,0.99355,1.01579,1,1.01,1.03431,0.9697,1.00551,1.01508,1,1.01589,1.01064,1,0.99238,1.00518,1.00733,1.02064,1.00823,1.04046,1.00424,1.00549,1.00327,1.00939
"1962-10-01",0.98626,0.98082,0.99573,0.9898,0.98885,0.98684,0.98469,0.97874,1.00862,0.99515,1.01724,0.97885,0.99609,0.98585,1,1.00518,0.98204,0.96287,0.98578,0.96875,0.99452,0.99257,1.07143,0.98044,0.98246,1,0.98081,0.97165,0.99515,0.98897,0.99592,0.96667,0.97046,0.95628,1.00326,0.9907
"1962-10-02",1.02507,1.01956,1.00858,1.00773,1.00805,1,1,1.01214,1.00855,0.99512,1,1.01852,1.01965,1.01196,1.00649,0.98454,1.02439,1.02938,1.00481,1.09677,1.00368,1.01746,1,1.02128,1.04286,1,1.01957,1.01326,1.00244,1.01673,1.00615,1.01149,1,1.04,1,1.00235
"1962-10-03",0.99185,0.99281,1.02128,1.00256,1.02396,0.98667,1.00259,1.00253,0.9661,1.0098,0.99153,1.00303,0.99422,1.00946,1.00645,1.00524,1.02381,0.99465,1.04067,1.05882,1.00366,0.99755,0.93333,0.98568,1,1.00422,0.98273,0.99738,0.99757,0.99269,1.00611,0.99432,0.97609,1.01282,0.99351,0.99766
"1962-10-04",1.00822,0.99517,0.9875,0.9949,1.00156,1,1.00775,1.01259,1.00877,1.00728,1.02564,1.03021,1.02326,1.02576,1.01923,1.04167,1.01744,1.02654,1.03448,0.94444,1.00365,1.01229,1.07143,1.00396,0.9863,1,1.00391,1.00787,1.00244,0.99079,1.01215,1.01714,0.98886,1.00904,0.97386,1.00704
"1962-10-05",1.00543,1.03398,0.99578,1.00769,1.01246,0.97297,1.03333,1.00746,0.9913,1.00964,0.99167,1.01173,1.01705,1.00228,0.98742,1.015,1.01714,1.00699,1.01111,1,0.99273,1.00728,1,1.01974,1,1.02521,1.01556,1.01563,1.01703,1.01115,1.008,1.01124,1.02703,1.00358,0.99664,1.01166
"1962-10-08",1.01081,0.99296,0.98305,0.98473,0.99692,0.97222,0.98759,0.99877,1,1.00239,1.0084,1.0029,1.00559,0.99089,1,0.99015,1.01124,0.99861,0.99341,1,1.00366,1,0.93333,1.00387,0.99306,0.9918,1.00192,1.00513,0.98804,0.97978,1,1.01111,1.01754,0.99286,0.99663,0.98848
"1962-10-09",1.03465,1.01182,0.99569,1.00258,1.01235,0.94286,1.01005,0.99506,0.98246,1.00714,1.00833,1.00867,1.0037,1.0046,1.01911,0.99502,1.01667,1.01807,1.00442,1.02941,1.01277,0.99036,0.85714,0.99357,0.99301,0.98347,1.0153,1.0051,0.98789,1.00563,0.99405,1.01648,1.01724,0.9982,1.00169,1.00466
"1962-10-10",1.02591,1.00935,0.98701,1,0.9939,1.0303,0.99751,1.00621,1.01786,0.99764,1.04132,0.97421,0.98708,0.99314,1,1,0.99454,0.98055,1,0.97143,0.99459,1.00243,1.125,0.99612,1.02113,0.97479,0.99058,0.99746,1.01471,1,1.00599,0.98919,1,1.0036,0.99663,1.01624
"1962-10-11",1.01768,0.98148,1.00439,1.00773,1,1.08824,0.99252,0.99877,0.96491,0.99763,0.96032,1.00882,0.98879,1.0023,0.99375,0.99,0.97802,0.9913,1.00441,0.97059,0.98551,1.00243,1.03704,1,0.9931,0.98276,0.9943,0.99237,0.99758,1,1.00397,0.98361,1.00847,1.0018,0.99323,0.9863
"1962-10-12",0.98759,1.00943,0.99127,0.99488,0.99387,0.95946,1.00503,0.99382,1.01818,0.99287,1,0.99708,0.99622,0.9977,0.99371,1.00505,0.98876,0.99789,1.00877,1,1.00735,0.99516,1,0.99351,0.98264,1.01754,1.00382,0.99231,1.00242,1.0056,0.99802,1.02222,0.98739,0.99283,1.0017,0.99537
"1962-10-15",1,0.99533,0.96916,1.00257,1,0.95775,1,1.0143,1.00893,1.00957,1.02479,1.01462,1.02087,1,0.99367,0.98492,1.00568,1.03308,0.9913,0.9697,0.99635,0.9854,0.96429,1,1.00353,1.03448,1.01143,1.02067,1,0.99629,1.00594,1.01087,1,1.00722,1,1.0093
"1962-10-16",0.98744,0.99765,1.01364,1,1,1.02941,1.005,1.00061,1,1.00237,1.03226,0.99712,1,1.00691,1.00637,0.98469,0.99435,0.97411,0.99342,1,1.00733,1.00247,0.96296,1.00392,0.98592,0.98333,0.99623,0.97975,1.00242,0.99814,1.00591,0.99462,1.00426,0.99821,1.0068,1.01382
"1962-10-17",0.98728,0.98353,1,0.98462,0.99846,0.97143,0.98756,0.99755,0.99115,0.99764,0.99219,0.99422,0.99442,0.99085,1,1,0.98864,1.01119,1.00221,0.96875,0.99636,0.99507,1.03846,1.00781,0.97857,0.98305,0.98677,0.99225,1.00723,1,0.99016,0.98919,0.97034,1.00359,1.00169,1.00227
"1962-10-18",0.99227,0.98325,0.95964,0.97396,0.98918,1.02941,0.97733,0.99877,1,0.99052,0.97638,0.98256,0.99626,0.99538,1,0.95337,0.98851,0.98237,0.98678,0.96774,0.99635,0.98515,0.96296,0.98708,0.9708,0.98276,1.00575,1.0026,0.98325,0.98507,0.97018,0.97814,0.96943,0.98748,1.0253,0.9932
"1962-10-19",0.98442,0.98297,0.99533,0.99465,0.96719,0.97143,0.99485,0.9877,1,0.99043,0.95968,0.97337,0.98124,0.9652,0.97468,1,0.93605,0.98029,0.9933,1,0.96703,1.00503,1.03846,0.99476,0.97744,0.99123,0.99619,0.97662,0.9927,1.00379,1.00205,0.97207,0.99099,0.99275,0.99342,0.98858
"1962-10-22",1,0.9802,0.98122,0.98118,0.99354,1,0.98964,0.99875,1,0.97826,0.97479,0.96049,0.99044,0.99038,0.98701,0.96196,0.96894,0.98528,0.98876,1.03333,0.98106,0.965,1,0.98684,1.06923,1.00885,1.02868,0.97872,0.98284,0.97358,1.00409,0.95977,0.96818,0.9927,1.00662,0.98614
